series_id,series_name,start_year,publisher,issue_count,description
165320,Rutta & Kodama,2016,Crunchyroll SA,0,
165319,Resting Bitch Face Lover,2020,Crunchyroll SA,0,
165318,Resident Evil: Marhawa Desire,2012,Crunchyroll SA,0,
165317,Ragna Crimson,2019,Crunchyroll SA,0,
165316,Rache Schmeckt Süss,2021,Crunchyroll SA,0,
165315,Prinz Sucht Bräutigam,2019,Crunchyroll SA,0,
165314,Primo Prima!,2016,Crunchyroll SA,0,
165313,Der Pirat und die Prinzessin,2014,Crunchyroll SA,0,
165312,Our Precious Conversations,2021,Crunchyroll SA,0,
165311,Orient,2020,Crunchyroll SA,22,
165310,On Doorstep,2018,Crunchyroll SA,1,
165309,Ryū to Rei: Dragon & Ape,2025,Kodansha,3, 
165308,Leende-Koku Monogatari,2025,Kodansha,1, 
165307,Mō Hitotsu no Piano no Mori: Totonō Oto,2025,Kodansha,1, 
165306,Manga Nihon no Rekishi: Gendai-Hen,1993,Chūōkōron,7, 
165305,Manga Nihon no Rekishi,1989,Chūōkōron,48, 
165304,Spirit of Amazon,1998,NW Studios,4,
165303,Nura: Herr der Yokai,2012,Crunchyroll SA,25,
165302,Nozomi & Kimio,2015,Crunchyroll SA,8,
165301,Shinsengumi Imon: Peace Maker,2005,Mag Garden,5, 
165300,Asagi-Iro no Densetsu,1977,Hakusensha,4, 
165299,Kettō! Shinsengumi,2004,"Leed Publishing Co., Ltd.",2, 
165298,Himitsu no Shinsengumi,2005,Ohta Shuppan,4, 
165297,"Nisekoi: Liebe, Lügen & Yakuza",2014,Crunchyroll SA,25,
165296,My Honey Boy,2018,Crunchyroll SA,10,
165295,My Pretty Policeman,2021,Crunchyroll SA,3,
165294,Shiki,1994,Shogakukan,15, 
165293,Shinsengumi,1991,Scholar,5, 
165292,Mujina: Kanzenban,2024,Fukkan,5, 
165291,Mujina,1993,Shogakukan,9, 
165290,Hajime no Shokutaku,2015,Hakusensha,6, 
165289,Standstill,2025,Splitter,1, 
165288,H.P. Lovecrafts: Die Katzen von Ulthar und andere Geschichten,2025,Carlsen Verlag,1, 
165287,H. P. Lovecraft: Die Musik des Erich Zann und weitere Geschichten,2025,Splitter,1, 
165286,Ore no Shinsengumi,1980,Shōnen Gahōsha,5, 
165285,Satsuma Gishiden,1979,Nihon Bungeisha,6, 
165284,Hakuōki,2010,ASCII Media Works,4, 
165283,Unryū Honba,1999,Ushio Shuppansha,5, 
165282,Fūunjitachi,1982,Ushio Shuppansha,30, 
165281,H.P. Lovecraft's The Colour Out of Space,2025,Dark Horse Comics,1,
165280,Miyamoto Musashi,1984,Kodansha,10, 
165279,Isekai Henkyō Meshi,2025,Kodansha,1,
165278,Bakudan! - Bakumatsu Danshi,2011,Kodansha,6, 
165277,Kita no Shishi: Shinsetsu - Hijikata Toshizō Den,2001,Ushio Shuppansha,3, 
165276,Okita Sōji,1986,Futabasha Publishers Ltd.,1, 
165275,Tor: Bog Groma,2017,Phoenix Press,2,
165274,Kichijōji Shōnen!,2025,Shogakukan,1,
165273,Sora e...,2025,Shogakukan,1,
165271,D'Artagnan Todo Color Anuario,1978,Editorial Columba,1,
165270,The Librarian: Return to King Solomon's Mines Graphic Novel,2006,Atlantis Studios,1,
165269,King Solomon's Mines,2015,Millennial Concepts,1,
165268,Parashoppers,2025,Shogakukan,1,
165267,Ueki no Hōsoku Exhibition: Fukuchi Tsubasa Tanpenshū,2025,Shogakukan,1,
165266,Musashi,1975,Shogakukan,13, 
165265,Kaze no Gotoku Hi no Gotoku,1996,Kodansha,7, 
165264,Transformers: Best of Optimus Prime,2022,IDW Publishing,1,
165263,Transformers: Best of Megatron One-Shot,2022,IDW Publishing,1,
165256,Dracula l'Immortel,2011,Casterman,3,
165255,Sōten-Kōro,1995,Kodansha,36, 
165254,Getsumei Seiki: Sayonara Shinsengumi,2004,Shogakukan,10, 
165253,Raika,1988,Scholar,12, 
165252,Gora Gopal y Otras Aventuras Exóticas,2012,Editores de Tebeos,1,
165251,Fantasía Extraordinario,1952,Editorial Columba,12,
165250,Misery,,Image,1, 
165249,Sisterhood: A Hyde Street Story,2025,Image,1, 
165248,Sam and Twitch Compendium,,Image,1, 
165246,Illuminati,2025,AWA Studios,1, 
165245,Gehenna: Naked Aggression,2025,Image,1, 
165243,Dune: Edge of a Crysknife: Hiding Among Harkonnens,2025,Boom! Studios,1, 
165242,Oi! Ryōma,1987,Shogakukan,23, 
165239,Paragons of Earth Special Edition,2023,Pulp Corner Press,1,
165238,Zero Damage Sword Saint,2025,J-Novel Club,1,
165237,Shujinkō Nikki,2021,Shogakukan,11,
165230,Yamabito ga Kataru Fushigi na Hanashi: Sankaiaka,2025,Shogakukan,1, 
165229,Tsuribaka Nisshi Bangaihen: Shadowman,2025,Shogakukan,1, 
165228,Shin Goyōkiba,1982,Shōnen Gahōsha,3, 
165227,Goyōkiba,1971,Shōnen Gahōsha,18, 
165226,Shinsengumi Jingishō: Asagi,2009,Square Enix,8, 
165225,Shinsengumi Mokushiroku,2004,Akita Shoten,7, 
165222,I Made Friends with the Second Prettiest Girl in My Class,2025,Yen Press,1,
165219,El Iris Roto,,Marfil Comics,1,
165218,Modern Godhood,2020,self published,1,
165217,Zombie Tramp vs. Hack/Slash,2025,STiLL iLL PRiNCESS,1,
165216,Monstermässig Verknallt,2020,Crunchyroll SA,8,
165215,Die Monster Mädchen Anthologie,2017,Crunchyroll SA,4,
165214,Mit Schwert und Bogen,2016,Crunchyroll SA,1,
165213,Midnight Secretary,2012,Crunchyroll SA,7,
165211,Sorowanai Kazoku,2025,Shueisha,1,
165209,De Avonturen Van De 3L,1966,Le Lombard,8,
165206,Le Fantôme,1963,Éditions des Remparts,8,     Phantom comics from France
165204,Killeroo/The 4Horsemen: Long Way Back from Hell,2020,Ozone Studios,1,
165203,JSM Joins the G-Man Comics Universe,2025,Marfil Comics,1,
165201,Un Harem Dans Un Autre Monde,2021,Irodori Comics,1,
165200,Sacred Six,2021,Dynamite Entertainment,1,
165194,Tomorrow Girl x PunchLine: No Tomorrows,2024,Antarctic Press,1,
165193,Pilot,1980,Semic/Nordisk Forlag AS,6,    Anthology series from Norway
165192,TV-hits,1980,Semic Press,1,         Looney Tunes one shot from the Netherlands
165187,From Villainess to Healer: I Know the Cheat to Change My Fate,2024,J-Novel Club,2,
165186,Kimi to Koete Koi ni Naru,2021,Shueisha,9,
165185,Queen of Swords,2024,Vault Comics,1,
165184,Zenescope Legends Summer Edition 2025,2025,Zenescope Entertainment,1, 
165182,VR Troopers,2025,Boom! Studios,1, 
165180,Tramps of the Apocalypse,2025,Dark Horse Comics,1, 
165179,Stranger Things: Tales from Hawkins 2,2025,Dark Horse Comics,1, 
165178,The Purpose Project,2025,AWA Studios,1, 
165177,News from the Fallout,2025,Image,1, 
165175,Megaman Timelines,2025,UDON,1, 
165174,Lazarus Fallen,2025,Image,1, 
165173,Don't Forget Your Briefcase,2025,Mad Cave Studios,1, 
165172,Biker Mice from Mars,2025,Oni Press,1, 
165171,Sabishi Sugite Les Fūzoku ni Ikimashita Repo,2016,East Press,1,
165170,Monolith,,Image,1,
165169,Midnight Rain,2020,Crunchyroll SA,1,
165168,Meine Erste Liebe,2018,Crunchyroll SA,1,
165167,Mein Wildes Geheimnis,2017,Crunchyroll SA,4,
165166,Mein Verfluchter Bräutigam,2016,Crunchyroll SA,4,
165165,Mein Leben als Werwolf-Butler,2019,Crunchyroll SA,2,
165164,Mein Heißer Mitbewohner,2019,Crunchyroll SA,1,
165163,Mehr als nur Freunde,2017,Crunchyroll SA,1,
